Host Listings Count;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 365;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Calculated host listings count;Host Since in Days;Entire home/apt;Private room
1.0;1.0;6;1.0;2.0;3.0;73.0;;;;40.0;3;15;306;87.0;9.0;9.0;9.0;1;424;1;0
10.0;10.0;3;2.0;2.0;3.0;100.0;;;200.0;30.0;1;0;91;98.0;10.0;10.0;10.0;10;1431;1;0
1.0;1.0;8;2.0;4.0;6.0;135.0;;;150.0;60.0;6;25;288;95.0;10.0;10.0;10.0;1;1627;1;0
1.0;1.0;4;1.0;0.0;2.0;60.0;;;100.0;20.0;3;10;129;95.0;10.0;10.0;10.0;1;714;1;0
3.0;3.0;2;1.0;1.0;1.0;35.0;200.0;800.0;500.0;20.0;2;5;359;96.0;10.0;10.0;10.0;2;1754;0;1
1.0;1.0;2;1.0;1.0;1.0;20.0;150.0;;;;1;15;0;;;;;1;671;0;1
1.0;1.0;2;1.0;1.0;1.0;40.0;;;;;1;0;54;99.0;10.0;10.0;10.0;1;178;0;1
1.0;1.0;1;1.0;1.0;1.0;300.0;;;;;1;0;0;;;;;1;496;1;0
2.0;2.0;2;1.0;1.0;1.0;22.0;;;;;1;8;356;87.0;9.0;9.0;9.0;2;182;0;1
3.0;3.0;1;2.0;1.0;1.0;35.0;;1000.0;100.0;25.0;1;0;316;98.0;10.0;10.0;10.0;2;777;0;1
1.0;1.0;2;1.0;1.0;1.0;22.0;;;;;1;6;342;100.0;10.0;10.0;10.0;1;607;0;1
3.0;3.0;5;2.0;2.0;2.0;120.0;;;;30.0;4;0;298;100.0;10.0;10.0;10.0;3;1586;1;0
1.0;1.0;2;1.0;1.0;1.0;40.0;;;;10.0;1;10;348;98.0;10.0;10.0;10.0;1;230;0;1
1.0;1.0;2;1.0;2.0;2.0;57.0;250.0;750.0;100.0;40.0;3;0;0;84.0;10.0;8.0;9.0;1;879;0;1
57.0;57.0;6;2.0;2.0;2.0;99.0;;;150.0;50.0;1;20;132;89.0;9.0;10.0;10.0;48;788;1;0
1.0;1.0;4;1.0;1.0;1.0;68.0;;;150.0;24.0;2;10;143;92.0;10.0;10.0;10.0;1;116;1;0
1.0;1.0;6;2.0;3.0;5.0;100.0;;;500.0;40.0;4;15;239;97.0;10.0;10.0;9.0;1;1087;1;0
1.0;1.0;4;2.0;2.0;3.0;85.0;;;175.0;20.0;1;0;213;100.0;10.0;10.0;10.0;1;621;1;0
3.0;3.0;4;1.0;1.0;2.0;58.0;;;200.0;30.0;1;0;97;80.0;8.0;9.0;9.0;3;363;1;0
2.0;2.0;2;1.0;1.0;2.0;40.0;;;100.0;;1;0;348;99.0;10.0;10.0;10.0;2;654;0;1
1.0;1.0;3;1.0;1.0;1.0;50.0;;;;;1;0;0;;;;;1;1001;1;0
2.0;2.0;4;1.0;1.0;2.0;49.0;;;100.0;35.0;1;28;344;96.0;10.0;10.0;9.0;2;894;1;0
51.0;51.0;2;1.0;1.0;1.0;75.0;440.0;1580.0;200.0;33.0;2;0;309;91.0;9.0;10.0;10.0;51;1971;1;0
57.0;57.0;2;1.0;0.0;1.0;49.0;;;100.0;30.0;1;10;162;88.0;9.0;9.0;10.0;48;788;1;0
4.0;4.0;6;1.0;0.0;4.0;69.0;;;500.0;49.0;2;9;345;;;;;3;2867;1;0
40.0;40.0;8;2.0;3.0;6.0;200.0;;4200.0;500.0;100.0;2;20;288;86.0;9.0;9.0;9.0;40;1900;1;0
4.0;4.0;3;1.0;1.0;2.0;49.0;;;;15.0;1;10;288;;;;;3;714;1;0
2.0;2.0;4;1.0;0.0;3.0;55.0;;;;;1;0;330;87.0;9.0;9.0;10.0;2;725;1;0
39.0;39.0;4;1.0;1.0;3.0;89.0;;;;;1;0;228;;;;;29;239;1;0
1.0;1.0;4;1.0;1.0;2.0;115.0;;;200.0;72.0;2;15;262;;;;;1;19;1;0
3.0;3.0;1;1.0;1.0;1.0;24.0;157.0;480.0;;;1;0;350;95.0;10.0;10.0;9.0;2;2137;0;1
1.0;1.0;6;2.0;3.0;6.0;80.0;;;;15.0;4;8;78;100.0;10.0;10.0;10.0;1;656;1;0
1.0;1.0;6;2.0;2.0;2.0;89.0;;;200.0;40.0;2;18;94;97.0;10.0;10.0;10.0;1;757;1;0
1.0;1.0;1;1.0;1.0;1.0;40.0;;;;;1;0;0;100.0;10.0;10.0;10.0;1;491;0;1
1.0;1.0;2;1.0;1.0;1.0;60.0;;;100.0;20.0;1;0;297;96.0;10.0;9.0;10.0;1;99;1;0
1.0;1.0;1;1.0;1.0;1.0;35.0;;;;;1;0;334;98.0;10.0;10.0;10.0;1;445;0;1
3.0;3.0;1;1.0;1.0;1.0;30.0;;;;10.0;1;0;353;100.0;10.0;10.0;10.0;2;302;0;1
3.0;3.0;8;2.0;2.0;2.0;110.0;;;150.0;50.0;5;0;118;95.0;10.0;10.0;10.0;3;1455;1;0
4.0;4.0;6;2.0;3.0;3.0;120.0;;;;;1;0;87;;;;;4;601;1;0
5.0;5.0;2;1.0;0.0;1.0;50.0;320.0;1100.0;200.0;30.0;1;10;315;93.0;9.0;9.0;10.0;5;1590;1;0
3.0;3.0;2;1.0;1.0;1.0;30.0;;;100.0;10.0;1;8;337;84.0;9.0;9.0;9.0;3;1294;0;1
2.0;2.0;3;1.0;0.0;2.0;49.0;322.0;1380.0;;10.0;2;19;316;93.0;10.0;10.0;9.0;2;506;1;0
1.0;1.0;4;1.0;1.0;1.0;70.0;;;96.0;30.0;2;8;343;98.0;10.0;10.0;10.0;1;129;1;0
2.0;2.0;2;1.0;1.0;2.0;31.0;;;;;1;0;114;80.0;10.0;8.0;9.0;1;584;0;1
4.0;4.0;1;1.0;1.0;1.0;27.0;;;;;1;0;279;95.0;9.0;10.0;10.0;4;483;0;1
2.0;2.0;6;2.0;0.0;4.0;100.0;;;300.0;40.0;4;20;280;97.0;10.0;10.0;10.0;2;1632;1;0
1.0;1.0;1;1.0;1.0;1.0;15.0;;;;;1;0;0;60.0;6.0;5.0;10.0;1;486;0;1
2.0;2.0;1;1.0;1.0;1.0;22.0;;;;;1;0;282;;;;;2;461;0;1
2.0;2.0;3;1.0;2.0;2.0;55.0;;;;25.0;1;0;306;92.0;9.0;9.0;9.0;1;456;1;0
11.0;11.0;4;1.0;1.0;2.0;55.0;;;150.0;30.0;2;15;336;90.0;9.0;10.0;10.0;9;2461;1;0
1.0;1.0;1;1.0;1.0;1.0;19.0;;;;;1;0;225;80.0;8.0;10.0;;1;304;0;1
1.0;1.0;6;2.0;3.0;5.0;72.0;;;;20.0;3;10;323;93.0;10.0;10.0;9.0;1;767;1;0
4.0;4.0;2;0.5;1.0;1.0;29.0;;;;;1;8;181;60.0;6.0;6.0;10.0;4;45;0;1
1.0;1.0;2;1.0;1.0;2.0;18.0;;;100.0;8.0;1;13;356;93.0;9.0;10.0;10.0;1;1087;0;1
2.0;2.0;2;1.0;1.0;1.0;38.0;200.0;;100.0;15.0;1;0;167;80.0;8.0;10.0;10.0;1;1215;0;1
3.0;3.0;4;1.0;2.0;2.0;65.0;;;;25.0;3;10;212;77.0;8.0;8.0;10.0;3;450;1;0
3.0;3.0;2;1.0;1.0;1.0;35.0;;;100.0;;1;10;365;100.0;10.0;10.0;10.0;3;1322;0;1
114.0;114.0;1;2.0;1.0;1.0;15.0;;;;15.0;1;0;293;;;;;97;1066;0;1
14.0;14.0;1;0.0;1.0;1.0;29.0;;;;;1;0;281;60.0;6.0;6.0;8.0;14;398;0;1
1.0;1.0;4;1.5;2.0;4.0;99.0;;;300.0;50.0;2;10;335;87.0;10.0;10.0;9.0;1;1032;1;0
2.0;2.0;3;1.0;1.0;3.0;55.0;;;200.0;25.0;2;15;24;90.0;10.0;10.0;10.0;2;191;1;0
10.0;10.0;8;1.0;2.0;5.0;99.0;;;250.0;25.0;1;0;233;90.0;10.0;9.0;10.0;5;1718;1;0
1.0;1.0;2;2.0;1.0;2.0;36.0;;;100.0;;2;10;139;95.0;10.0;10.0;10.0;1;889;0;1
2.0;2.0;1;2.0;1.0;1.0;20.0;;;;;1;0;328;100.0;9.0;10.0;10.0;1;516;0;1
3.0;3.0;4;1.0;1.0;2.0;52.0;;;;20.0;2;8;59;98.0;10.0;10.0;10.0;3;1657;1;0
57.0;57.0;8;2.0;2.0;2.0;119.0;;;250.0;60.0;1;20;120;85.0;9.0;9.0;10.0;48;788;1;0
1.0;1.0;2;2.0;1.0;1.0;45.0;220.0;500.0;200.0;;1;0;0;;;;;1;1179;0;1
2.0;2.0;2;1.5;1.0;1.0;26.0;;;;;1;0;83;96.0;10.0;10.0;9.0;2;492;0;1
2.0;2.0;6;1.0;2.0;2.0;125.0;;;150.0;;4;20;90;95.0;10.0;10.0;10.0;2;444;1;0
1.0;1.0;3;1.0;2.0;2.0;42.0;230.0;760.0;;20.0;1;0;229;86.0;9.0;9.0;8.0;1;633;1;0
1.0;1.0;2;1.0;1.0;1.0;65.0;;;;;1;0;317;92.0;9.0;10.0;9.0;1;357;1;0
1.0;1.0;5;1.0;2.0;4.0;49.0;;;100.0;25.0;3;5;292;88.0;9.0;9.0;8.0;1;325;1;0
1.0;1.0;3;1.0;1.0;1.0;70.0;;;;15.0;2;20;1;96.0;10.0;10.0;10.0;1;1016;1;0
164.0;164.0;8;2.0;4.0;6.0;160.0;;;200.0;70.0;2;10;290;84.0;9.0;10.0;10.0;145;932;1;0
1.0;1.0;1;1.0;1.0;1.0;14.0;;;90.0;;1;0;77;100.0;10.0;10.0;8.0;1;275;0;1
1.0;1.0;5;1.0;2.0;2.0;85.0;;;;20.0;1;0;72;;;;;1;24;1;0
2.0;2.0;4;1.0;1.0;2.0;49.0;;;;20.0;2;20;28;91.0;10.0;9.0;10.0;2;1430;1;0
1.0;1.0;3;1.0;1.0;2.0;60.0;;;;25.0;2;10;97;98.0;10.0;10.0;10.0;1;813;1;0
2.0;2.0;2;1.0;1.0;1.0;39.0;;;;5.0;2;5;122;93.0;10.0;9.0;10.0;2;135;1;0
1.0;1.0;2;1.0;1.0;1.0;60.0;;;;10.0;1;15;58;99.0;10.0;10.0;10.0;1;246;1;0
142.0;142.0;7;4.0;4.0;4.0;258.0;;;;77.0;2;0;165;97.0;10.0;10.0;9.0;77;1667;1;0
1.0;1.0;2;1.0;1.0;1.0;35.0;;;;;1;0;282;;;;;1;891;0;1
1.0;1.0;2;1.0;1.0;1.0;150.0;600.0;2000.0;;;1;0;363;100.0;10.0;10.0;10.0;1;750;1;0
24.0;24.0;8;2.0;3.0;5.0;168.0;;;100.0;35.0;5;0;301;100.0;10.0;10.0;10.0;21;646;1;0
1.0;1.0;4;1.0;0.0;3.0;50.0;;;;30.0;2;10;301;87.0;9.0;9.0;10.0;1;266;1;0
1.0;1.0;2;1.0;1.0;1.0;40.0;;;;;1;0;274;99.0;10.0;10.0;9.0;1;373;1;0
1.0;1.0;2;1.0;1.0;1.0;40.0;;;;;1;5;204;93.0;10.0;10.0;10.0;1;1775;0;1
1.0;1.0;4;2.0;2.0;2.0;180.0;800.0;3000.0;;;1;0;0;;;;;1;759;1;0
1.0;1.0;3;1.0;1.0;1.0;50.0;;;;14.0;1;0;0;96.0;10.0;10.0;10.0;1;193;1;0
2.0;2.0;3;1.0;1.0;2.0;38.0;306.0;1200.0;600.0;50.0;1;0;262;;;;;1;1502;1;0
14.0;14.0;2;1.0;0.0;1.0;41.0;220.0;;;;1;0;73;95.0;10.0;10.0;10.0;12;501;1;0
2.0;2.0;5;1.0;2.0;2.0;54.0;;1250.0;;;2;13;328;88.0;9.0;9.0;10.0;2;617;1;0
8.0;8.0;4;1.0;1.0;2.0;60.0;510.0;;150.0;30.0;2;30;275;99.0;10.0;10.0;10.0;8;1671;1;0
1.0;1.0;4;1.0;2.0;2.0;80.0;;;150.0;30.0;2;10;281;97.0;10.0;10.0;10.0;1;389;1;0
2.0;2.0;1;1.0;1.0;1.0;50.0;300.0;1125.0;;5.0;1;0;365;94.0;10.0;9.0;10.0;2;762;0;1
4.0;4.0;2;1.0;1.0;1.0;75.0;;;100.0;30.0;1;0;304;94.0;10.0;10.0;10.0;4;948;1;0
7.0;7.0;1;1.0;1.0;1.0;20.0;110.0;410.0;;10.0;1;0;16;93.0;10.0;9.0;10.0;7;974;0;1
1.0;1.0;2;1.0;1.0;1.0;19.0;;;;;1;10;354;87.0;8.0;9.0;10.0;1;245;0;1
2.0;2.0;1;1.0;1.0;1.0;18.0;;;95.0;15.0;1;10;34;;;;;2;91;0;1
3.0;3.0;4;1.0;1.0;2.0;65.0;;;200.0;30.0;1;0;120;97.0;10.0;10.0;10.0;3;555;1;0
164.0;164.0;4;1.0;0.0;1.0;90.0;;;200.0;40.0;2;10;328;60.0;10.0;10.0;8.0;145;932;1;0
3.0;3.0;4;1.0;1.0;2.0;69.0;;;299.0;59.0;2;19;318;97.0;9.0;10.0;10.0;3;135;1;0
2.0;2.0;3;1.0;1.0;2.0;60.0;;;;7.0;1;0;323;86.0;9.0;8.0;10.0;2;460;1;0
2.0;2.0;4;1.0;2.0;2.0;95.0;;;;;1;0;334;91.0;9.0;9.0;10.0;2;235;1;0
1.0;1.0;7;3.0;4.0;5.0;270.0;;;500.0;50.0;5;30;85;97.0;10.0;9.0;10.0;1;167;1;0
1.0;1.0;1;1.0;4.0;3.0;95.0;600.0;1100.0;150.0;;1;0;311;90.0;8.0;9.0;10.0;1;1018;0;1
1.0;1.0;3;1.0;1.0;2.0;40.0;;;;25.0;2;15;97;97.0;10.0;10.0;9.0;1;270;1;0
2.0;2.0;2;1.0;1.0;1.0;55.0;;;;10.0;1;0;58;92.0;10.0;10.0;9.0;2;563;1;0
2.0;2.0;2;1.0;1.0;1.0;110.0;715.0;1700.0;;;1;0;290;93.0;10.0;9.0;10.0;2;1210;1;0
4.0;4.0;3;1.0;0.0;2.0;40.0;;;100.0;20.0;2;5;293;89.0;10.0;9.0;10.0;4;256;1;0
1.0;1.0;2;1.0;1.0;1.0;35.0;;;;20.0;1;10;178;;;;;1;241;0;1
1.0;1.0;2;1.0;1.0;1.0;28.0;180.0;550.0;;10.0;1;15;0;95.0;10.0;10.0;9.0;1;1046;0;1
2.0;2.0;2;1.0;;1.0;40.0;260.0;900.0;;;1;0;299;83.0;9.0;8.0;9.0;2;1537;1;0
1.0;1.0;2;1.0;2.0;2.0;59.0;300.0;1000.0;;25.0;1;0;323;87.0;9.0;10.0;9.0;1;768;1;0
3.0;3.0;2;0.0;1.0;2.0;22.0;;;100.0;;1;10;288;95.0;10.0;10.0;10.0;3;151;0;1
1.0;1.0;2;2.0;1.0;1.0;25.0;;;;;1;0;8;81.0;9.0;7.0;10.0;1;215;0;1
2.0;2.0;3;1.0;2.0;2.0;40.0;;;;;1;0;358;;;;;1;255;0;1
1.0;1.0;3;1.0;1.0;2.0;47.0;;;100.0;15.0;1;10;302;94.0;10.0;9.0;9.0;1;1677;1;0
4.0;4.0;1;1.0;1.0;1.0;27.0;;;;;1;0;298;91.0;10.0;9.0;10.0;4;601;0;1
2.0;2.0;1;1.0;1.0;1.0;32.0;;;;;1;0;0;;;;;2;185;0;1
1.0;1.0;2;1.0;1.0;2.0;25.0;;;;;1;25;0;88.0;9.0;9.0;8.0;1;510;0;1
1.0;1.0;2;1.0;1.0;1.0;35.0;;;;;1;0;75;100.0;10.0;10.0;10.0;1;59;0;1
